year,model,female_coef,female_se,female_pvalue,r_squared,n_obs,controls
2023,M6_reproductive,-0.10835352213476848,0.0018545430884263903,0.0,0.3754286155540987,919948,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage)
2023,M7_onet_context,-0.10814449612233325,0.0018582415249222318,0.0,0.3758374526970598,915764,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity
2023,M8_reproductive_x_job_context,-0.02522647775781227,0.04002492962130082,0.5285186709256676,0.37664426039678556,915764,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity + female_x_recent_birth + female_x_own_child_under6 + female_x_recent_marriage + female_x_same_sex_couple_household + female_x_autonomy + female_x_job_rigidity + female_x_own_child_under6_x_job_rigidity
2024,M0,-0.15523793197956562,0.0015929736954388963,0.0,0.010185511078570686,922891,female
2024,M1,-0.22373104494468563,0.0014321662632123704,0.0,0.2153557685810974,922891,female + age + age_sq + C(race_ethnicity) + C(education_level)
2024,M2,-0.22128443623431776,0.0014192352790197078,0.0,0.2298553449651065,922891,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips)
2024,M3,-0.12507313629976954,0.001534570614369878,0.0,0.36574137517591654,922891,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker)
2024,M4,-0.13761206554827582,0.0015356829099168346,0.0,0.37220812219394295,922891,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way
2024,M5,-0.13786146901075946,0.0015933681383994297,0.0,0.37603329586731615,922891,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5
2024,M6_reproductive,-0.10240740096107213,0.001836993362722913,0.0,0.37742444371150563,922891,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage)
2024,M7_onet_context,-0.10239817380539566,0.001839754169647255,0.0,0.37793331607758607,919033,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity
2024,M8_reproductive_x_job_context,-0.03343626506790284,0.03963481419135171,0.3988884479001009,0.37872045760348194,919033,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity + female_x_recent_birth + female_x_own_child_under6 + female_x_recent_marriage + female_x_same_sex_couple_household + female_x_autonomy + female_x_job_rigidity + female_x_own_child_under6_x_job_rigidity
