suite,outcome,stratifier,stratum,n_obs,raw_variance_ratio,residual_variance_ratio,female_top10_share,male_top10_share,female_top5_share,male_top5_share,top10_share_gap_pp,top5_share_gap_pp,female_to_male_top10_ratio,female_to_male_top5_ratio
V3_reproductive_dispersion,log_hourly_wage_real,couple_type,same_sex,66545,0.8606225440471797,0.8975684819763594,0.0678381321563663,0.1361031694597623,0.0320879208600071,0.0695923593255393,-0.068265037303396,-0.0375044384655322,0.498431685504738,0.46108396339756424
V3_reproductive_dispersion,log_hourly_wage_real,couple_type,unpartnered,9668084,0.9082509426851162,0.9527792060105144,0.0757490623413884,0.1220905914840719,0.0361731971576818,0.0626634525776052,-0.04634152914268351,-0.026490255419923392,0.6204332489557208,0.5772614765023251
V3_reproductive_dispersion,log_hourly_wage_real,fertility_risk_quartile,Q1,602842,,,0.1000805661567632,,0.0500035349069212,,,,,
V3_reproductive_dispersion,log_hourly_wage_real,fertility_risk_quartile,Q2,602837,,,0.1006474502413953,,0.0500804526551621,,,,,
V3_reproductive_dispersion,log_hourly_wage_real,fertility_risk_quartile,Q3,602844,,,0.1000848107230649,,0.0500018836700089,,,,,
V3_reproductive_dispersion,log_hourly_wage_real,fertility_risk_quartile,Q4,602845,,,0.1002039645929435,,0.0500521547604205,,,,,
V3_reproductive_dispersion,log_hourly_wage_real,fertility_risk_quartile,missing,7323261,0.964810105150479,0.9725087803568618,0.0748596177542489,0.1114430563024541,0.0364058554255726,0.0561538245714094,-0.0365834385482052,-0.019747969145836798,0.6717297626070258,0.6483237019639899
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_other_partnered,22902,0.8740155069863467,0.9582183064354218,0.0620755806057313,0.127581913154312,0.0299734407774608,0.0646874079017637,-0.06550633254858071,-0.03471396712430289,0.48655470882185364,0.46335819829076164
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_recently_married,2956185,0.8728644251664887,0.92644176184065,0.0742897004248157,0.1237909957044356,0.036343602344956,0.0626591861299652,-0.0495012952796199,-0.0263155837850092,0.6001220040445462,0.5800203384316792
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,childless_unpartnered,2216051,0.8892380689522323,0.8592721208332116,0.0972419952640263,0.1019818795735596,0.0466339653913219,0.0524919479618624,-0.0047398843095333015,-0.005857982570540501,0.953522289162023,0.888402263623431
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,mother_6_17_only,1345050,,,0.1004824895982465,0.0,0.0500128326345109,0.0,0.1004824895982465,0.0500128326345109,inf,inf
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,mother_mixed_or_other,2318229,0.8048056557545753,1.036073264942668,0.0207479261575258,0.1052086773783659,0.0112776744586726,0.0524477368103864,-0.0844607512208401,-0.0411700623517138,0.19720736610830358,0.21502690381940837
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,mother_under6,662400,1.0492052876223077,0.960295759548118,0.1000017152866344,0.0977756441030564,0.0500150366380976,0.0634501520243238,0.002226071183577996,-0.013435115386226201,1.022767133921733,0.7882571600289341
V3_reproductive_dispersion,log_hourly_wage_real,reproductive_stage,recent_birth,213812,1.15917164907107,1.0090006850650606,0.1000519797454437,0.0999784529196294,0.0500194537035396,0.0393234216763628,7.352682581431014e-05,0.010696032027176797,1.0007354267211297,1.272001559660973
V4_onet_context_dispersion,log_annual_earnings_real,autonomy_quartile,Q1,2415620,1.0742648983402348,1.0905420021673695,0.0425469096569023,0.1512913961801015,0.0190784724168199,0.0775701919243543,-0.10874448652319921,-0.0584917195075344,0.28122491252743326,0.24595107919063863
